ground distance, LOS dist, two ray, free space
5, 45.2769, 60.6409, 64.6233
6, 45.3982, 61.6243, 64.495
7, 45.5412, 63.3252, 64.7066
8, 45.7056, 66.324, 64.7467
9, 45.8912, 68.6798, 64.5098
10, 46.0977, 67.8753, 64.8894
11, 46.3249, 63.6175, 64.8592
12, 46.5725, 61.0263, 64.9319
13, 46.8402, 60.1001, 65.0617
14, 47.1275, 60.5592, 64.9474
15, 47.4342, 63.3331, 64.9394
16, 47.7598, 68.9412, 65.0762
17, 48.1041, 67.3118, 65.2041
18, 48.4665, 62.2185, 65.2715
19, 48.8467, 60.4911, 65.4486
20, 49.2443, 61.2169, 65.2882
21, 49.6588, 66.328, 65.3269
22, 50.0899, 69.1038, 65.5008
23, 50.5371, 63.0473, 65.6459
24, 51, 60.8284, 65.8008
25, 51.4782, 62.2365, 65.7885
26, 51.9711, 68.9302, 65.9355
27, 52.4786, 67.7909, 66.0873
28, 53, 61.9025, 66.1192
29, 53.535, 61.316, 65.9628
30, 54.0833, 65.1166, 66.2173
31, 54.6443, 71.6531, 66.1219
32, 55.2178, 64.152, 66.4175
33, 55.8032, 61.314, 66.5601
34, 56.4004, 63.5802, 66.5336
35, 57.0088, 72.0588, 66.6771
36, 57.6281, 66.1836, 66.6667
37, 58.258, 61.977, 66.952
38, 58.8982, 62.4418, 66.7689
39, 59.5483, 68.5593, 66.8959
40, 60.208, 69.5955, 66.9578
41, 60.8769, 63.2692, 67.3497
42, 61.5549, 62.1935, 67.3041
43, 62.2415, 65.8532, 67.6103
44, 62.9365, 74.0476, 67.4557
45, 63.6396, 65.6469, 67.7555
46, 64.3506, 62.4935, 67.7293
47, 65.0692, 63.6981, 67.7842
48, 65.7951, 70.2935, 67.9663
49, 66.5282, 71.2659, 68.1207
50, 67.2681, 64.09, 68.0144
51, 68.0147, 62.7014, 68.3284
52, 68.7677, 65.2032, 68.3103
53, 69.527, 73.8984, 68.4057
54, 70.2922, 69.7115, 68.3878
55, 71.0634, 63.9532, 68.6913
56, 71.8401, 63.2616, 68.6331
57, 72.6223, 65.7947, 68.8239
58, 73.4098, 73.2738, 68.6882
59, 74.2024, 71.0091, 68.886
60, 75, 64.8276, 69.1081
61, 75.8024, 63.4803, 68.8875
62, 76.6094, 65.4473, 69.3711
63, 77.4209, 70.7989, 69.2895
64, 78.2368, 75.85, 69.4133
65, 79.0569, 67.3996, 69.5017
66, 79.8812, 64.3183, 69.4073
67, 80.7094, 64.3826, 69.8104
68, 81.5414, 66.9129, 69.7814
69, 82.3772, 74.1731, 69.7019
70, 83.2166, 74.8836, 70.0558
71, 84.0595, 67.5936, 69.9393
72, 84.9058, 64.9696, 70.2035
73, 85.7555, 64.8369, 70.1928
74, 86.6083, 66.9032, 70.4186
75, 87.4643, 71.9329, 70.3207
76, 88.3233, 78.211, 70.5507
77, 89.1852, 70.0192, 70.3917
78, 90.05, 66.342, 70.6413
79, 90.9175, 65.0566, 70.694
80, 91.7878, 65.7065, 70.8382
81, 92.6607, 68.3106, 70.7513
82, 93.5361, 73.5592, 70.9363
83, 94.414, 79.4968, 71.0899
84, 95.2943, 71.1111, 71.0439
85, 96.1769, 67.1666, 71.0982
86, 97.0618, 65.7656, 71.2795
87, 97.949, 65.6776, 71.2632
88, 98.8383, 67.1869, 71.4458
89, 99.7296, 70.3107, 71.3454
90, 100.623, 79.7391, 71.6876
91, 101.518, 78.0838, 71.7024
92, 102.416, 71.2052, 71.5658
93, 103.315, 67.589, 71.8902
94, 104.216, 66.4709, 71.8775
95, 105.119, 66.3107, 72.0007
96, 106.024, 67.2717, 72.0095
97, 106.93, 69.7862, 72.0748
98, 107.838, 73.6988, 72.1395
99, 108.747, 80.5001, 72.2516
100, 109.659, 76.273, 72.4211
101, 110.571, 70.9354, 72.3873
102, 111.485, 68.3259, 72.4545
103, 112.401, 67.168, 72.6468
104, 113.318, 66.8343, 72.5658
105, 114.237, 67.3328, 72.6728
106, 115.156, 68.9728, 72.8349
107, 116.078, 71.5535, 72.8731
108, 117, 76.3789, 72.8349
109, 117.924, 87.8168, 72.9075
110, 118.849, 76.7043, 73.1023
111, 119.775, 72.9849, 73.2414
112, 120.702, 69.5911, 72.9592
113, 121.631, 68.1091, 73.1656
114, 122.56, 67.5734, 73.2946
115, 123.491, 67.5021, 73.4064
116, 124.423, 68.3197, 73.3563
117, 125.355, 70.131, 73.5542
118, 126.289, 71.9428, 73.5593
119, 127.224, 76.5236, 73.569
120, 128.16, 85.4963, 73.6936
121, 129.097, 79.3842, 73.6916
122, 130.035, 75.0025, 73.748
123, 130.973, 72.5135, 74.0268
124, 131.913, 70.3587, 73.8021
125, 132.853, 68.9169, 74.0966
126, 133.795, 68.2985, 73.9464
127, 134.737, 68.3449, 74.2167
128, 135.68, 68.6339, 74.0786
129, 136.624, 69.6535, 74.1709
130, 137.568, 71.4648, 74.4762
131, 138.514, 73.6239, 74.364
132, 139.46, 77.0606, 74.3991
133, 140.407, 83.2953, 74.5814
134, 141.354, 85.6168, 74.4153
135, 142.302, 80.7208, 74.5918
136, 143.252, 75.8232, 74.7222
137, 144.201, 72.0313, 74.6765
138, 145.152, 71.0814, 74.6456
139, 146.103, 70.1631, 74.9246
140, 147.054, 69.5218, 74.9765
141, 148.007, 69.1143, 74.8984
142, 148.96, 69.2398, 75.0683
143, 149.913, 69.6259, 75.0707
144, 150.867, 70.4869, 75.0237
145, 151.822, 71.6453, 75.3076
146, 152.778, 73.5043, 75.2726
147, 153.734, 75.9679, 75.4299
148, 154.69, 78.5627, 75.4747
149, 155.647, 86.7431, 75.4386
150, 156.605, 87.9961, 75.5432
152, 158.521, 76.8721, 75.5424
154, 160.44, 72.7633, 75.6645
156, 162.361, 70.7267, 75.7943
158, 164.283, 70.1031, 75.8745
160, 166.208, 70.2967, 76.0849
162, 168.134, 71.2145, 75.8757
164, 170.062, 73.7215, 76.2727
166, 171.991, 77.1992, 76.0917
168, 173.922, 83.6039, 76.2439
170, 175.855, 89.2886, 76.4724
172, 177.789, 78.0975, 76.4499
174, 179.725, 73.9796, 76.6946
176, 181.662, 72.2712, 76.5923
178, 183.6, 71.3292, 76.7659
180, 185.54, 71.0003, 76.797
182, 187.481, 71.1976, 77.0086
184, 189.423, 72.1142, 76.9599
186, 191.366, 72.8791, 77.1736
188, 193.311, 75.3338, 77.2331
190, 195.256, 78.0037, 77.3419
192, 197.203, 85.3471, 77.4302
194, 199.151, 91.4667, 77.5463
196, 201.099, 81.7855, 77.6419
198, 203.049, 77.5974, 77.7279
200, 205, 74.6702, 77.8576
202, 206.952, 74.0772, 77.9265
204, 208.904, 72.9589, 78.0304
206, 210.858, 72.2576, 78.109
208, 212.812, 72.1501, 77.9669
210, 214.767, 72.3686, 77.9894
212, 216.723, 72.8329, 78.0619
214, 218.68, 74.038, 78.3413
216, 220.638, 74.5914, 78.304
218, 222.596, 77.7926, 78.441
220, 224.555, 79.8939, 78.4783
222, 226.515, 82.8421, 78.4541
224, 228.475, 90.518, 78.6935
226, 230.437, 94.2062, 78.8602
228, 232.398, 85.8616, 78.7593
230, 234.361, 80.209, 78.9078
232, 236.324, 78.3461, 79.0174
234, 238.288, 76.8485, 79.0348
236, 240.252, 75.8027, 79.2448
238, 242.217, 74.0943, 79.2379
240, 244.182, 73.8822, 79.1975
242, 246.148, 73.4634, 79.3189
244, 248.115, 73.4677, 79.4601
246, 250.082, 73.5563, 79.5708
248, 252.05, 73.8349, 79.5682
250, 254.018, 73.7729, 79.6336
