Ground distance, pathloss, LOS distance, average ray length
5, 36.3982, 5, 4.99344
6, 37.0127, 6, 5.99167
7, 39.3207, 7, 6.99149
8, 38.7197, 8, 7.98924
9, 41.2403, 9, 8.98854
10, 41.0357, 10, 9.98667
11, 44.496, 11, 10.9878
12, 40.8585, 12, 11.9848
13, 44.9779, 13, 12.9822
14, 43.9583, 14, 13.9816
15, 46.2209, 15, 14.98
16, 47.4029, 16, 15.9794
17, 45.2668, 17, 16.9792
18, 47.8045, 18, 17.9788
19, 46.2329, 19, 18.9764
20, 48.7197, 20, 19.9737
21, 48.5999, 21, 20.9726
22, 46.6844, 22, 21.9705
23, 48.4723, 23, 22.9705
24, 48.4469, 24, 23.9714
25, 52.0048, 25, 24.9706
26, 48.78, 26, 25.9636
27, 53.5448, 27, 26.9612
28, 50.6156, 28, 27.9677
29, 51.1552, 29, 28.9628
30, 51.9612, 30, 29.9651
31, 52.246, 31, 30.958
32, 52.0102, 32, 31.9634
33, 52.2775, 33, 32.9588
34, 51.6653, 34, 33.9552
35, 51.7241, 35, 34.9576
36, 54.1247, 36, 35.9475
37, 53.5195, 37, 36.9515
38, 52.8335, 38, 37.954
39, 52.3019, 39, 38.9476
40, 54.46, 40, 39.9462
41, 55.2544, 41, 40.9426
42, 53.5007, 42, 41.9396
43, 54.5766, 43, 42.9368
44, 55.2878, 44, 43.9449
45, 56.0629, 45, 44.9374
46, 54.7048, 46, 45.9424
47, 56.141, 47, 46.9473
48, 55.5321, 48, 47.94
49, 58.2639, 49, 48.9457
50, 54.2896, 50, 49.9416
51, 58.6114, 51, 50.9351
52, 56.2273, 52, 51.9407
53, 56.9043, 53, 52.9295
54, 58.6939, 54, 53.9244
55, 56.4797, 55, 54.9344
56, 56.871, 56, 55.9362
57, 57.273, 57, 56.9322
58, 58.5891, 58, 57.9268
59, 56.8667, 59, 58.9248
60, 56.2209, 60, 59.9259
61, 58.1254, 61, 60.914
62, 56.6905, 62, 61.9232
63, 58.1423, 63, 62.9234
64, 57.796, 64, 63.9244
65, 57.101, 65, 64.9168
66, 59.3896, 66, 65.9252
67, 58.4287, 67, 66.91
68, 57.4929, 68, 67.9197
69, 61.237, 69, 68.9009
70, 60.5701, 70, 69.9061
71, 59.7242, 71, 70.9062
72, 56.8354, 72, 71.9133
73, 59.6852, 73, 72.8921
74, 59.5401, 74, 73.9012
75, 59.92, 75, 74.8994
76, 58.652, 76, 75.9119
77, 59.4023, 77, 76.9226
78, 61.5101, 78, 77.8966
79, 60.108, 79, 78.9216
80, 59.7342, 80, 79.9173
81, 60.5885, 81, 80.9243
82, 61.275, 82, 81.8936
83, 63.8106, 83, 82.8732
84, 60.158, 84, 83.8915
85, 61.2874, 85, 84.9045
86, 59.5327, 86, 85.8983
87, 60.4628, 87, 86.8845
88, 61.3084, 88, 87.8879
89, 59.4684, 89, 88.8839
90, 60.7573, 90, 89.9011
91, 61.5996, 91, 90.8834
92, 60.7254, 92, 91.8903
93, 63.4157, 93, 92.8548
94, 61.135, 94, 93.8951
95, 61.0041, 95, 94.8783
96, 61.5527, 96, 95.8708
97, 59.4242, 97, 96.8859
98, 61.0623, 98, 97.8718
99, 61.82, 99, 98.8969
100, 63.3205, 100, 99.8809
101, 63.7546, 101, 100.868
102, 62.8711, 102, 101.86
103, 62.4122, 103, 102.868
104, 64.0088, 104, 103.88
105, 64.8838, 105, 104.883
106, 62.9249, 106, 105.873
