distance, free space
5, 36.2792
6, 37.135
7, 38.5744
8, 39.416
9, 40.5587
10, 41.9884
11, 43.0405
12, 43.6548
13, 44.5204
14, 45.3716
15, 45.2454
16, 46.1536
17, 46.7645
18, 47.1489
19, 47.429
20, 48.3204
21, 48.8033
22, 48.572
23, 49.1151
24, 49.6201
25, 49.9746
26, 50.4267
27, 50.9271
28, 51.0986
29, 51.347
30, 51.6696
31, 51.9263
32, 51.8009
33, 52.2508
34, 52.5908
35, 53.0653
36, 53.3675
37, 53.2713
38, 53.4496
39, 53.6489
40, 53.8952
41, 53.8526
42, 55.3615
43, 54.7685
44, 54.7496
45, 55.2197
46, 55.0565
47, 55.0389
48, 55.3484
49, 56.2227
50, 56.3982
51, 56.6925
52, 56.4473
53, 56.4197
54, 56.7751
55, 56.9063
56, 57.091
57, 57.4173
58, 57.5683
59, 57.2976
60, 58.2621
61, 57.6678
62, 57.2257
63, 57.5837
64, 57.8471
65, 58.2741
66, 58.2981
67, 59.1251
68, 59.1913
69, 58.6575
70, 58.3036
71, 58.8527
72, 59.0808
73, 59.5662
74, 59.428
75, 59.5446
76, 59.3915
77, 59.7732
78, 60.383
79, 59.7278
80, 59.7342
81, 60.3537
82, 60.1038
83, 60.2888
84, 59.8873
85, 60.4159
86, 60.7058
87, 60.4375
88, 60.5621
89, 61.0036
90, 60.6075
91, 61.252
92, 61.3192
93, 61.5823
94, 62.5307
95, 61.7384
96, 61.369
97, 61.9194
98, 61.8403
99, 62.3617
100, 61.9072
101, 61.8617
102, 62.5908
103, 62.0581
104, 62.6112
105, 62.5229
106, 62.2814
107, 62.5218
108, 63.3675
109, 62.7097
110, 63.1276
111, 63.5735
112, 63.1683
113, 62.8629
114, 62.836
115, 63.3979
116, 63.4446
117, 63.7226
118, 63.2916
119, 63.6664
120, 63.4112
121, 62.9397
122, 63.3241
123, 64.0686
124, 64.2572
125, 64.0654
126, 63.6545
127, 64.3176
128, 64.8756
129, 64.0658
130, 63.8509
131, 65.2757
132, 64.239
133, 64.5482
134, 64.6132
135, 64.9359
136, 64.4721
137, 65.0342
138, 64.5211
139, 64.2859
140, 65.078
141, 65.1399
142, 65.2297
143, 64.7287
144, 64.7393
145, 64.9509
146, 65.3305
147, 65.7052
148, 65.3394
149, 65.9739
150, 65.6209
152, 65.8495
154, 66.4495
156, 65.9897
158, 65.8537
160, 66.1536
162, 66.7626
164, 65.8689
166, 66.7909
168, 66.0782
170, 66.4365
172, 66.7264
174, 66.9101
176, 66.9814
178, 66.5804
180, 67.4052
182, 67.3005
184, 67.5378
186, 67.6029
188, 67.7829
190, 67.5363
192, 67.2133
194, 67.4285
196, 67.4671
198, 67.9491
200, 67.9547
202, 67.9875
204, 68.7649
206, 68.0009
208, 68.5452
210, 68.8934
212, 68.0006
214, 68.7355
216, 68.7882
218, 69.1578
220, 69.2073
222, 69.3458
224, 68.4546
226, 69.441
228, 68.6084
230, 69.476
232, 69.217
234, 69.6841
236, 69.7875
238, 69.2294
240, 69.0781
242, 69.3998
244, 69.5754
246, 69.5939
248, 70.1305
250, 70.0579
255, 69.4148
260, 70.4267
265, 70.564
270, 70.6431
275, 70.6939
280, 70.8237
285, 70.9509
290, 70.8951
295, 71.1717
300, 71.4497
305, 71.7294
310, 71.4492
315, 72.1217
320, 72.1464
325, 72.2811
330, 71.8441
335, 72.8598
340, 72.6454
345, 72.3284
350, 72.8155
355, 72.5518
360, 72.8496
365, 73.0998
370, 73.3525
375, 73.7512
380, 73.5841
385, 73.6976
390, 73.8647
395, 74.2317
400, 74.5823
405, 74.2203
410, 74.1096
415, 74.1623
420, 74.1629
425, 74.5562
430, 74.2414
435, 74.8132
440, 74.9681
445, 75.1798
450, 74.9984
455, 75.2314
460, 75.271
465, 75.047
470, 75.6546
475, 76.2652
480, 75.1721
485, 75.4127
490, 75.9311
495, 76.1626
500, 76.2792
505, 76.3073
510, 75.6741
515, 76.2795
520, 76.7088
525, 76.4743
530, 76.3131
535, 76.9558
540, 77.0067
545, 76.0586
550, 76.4042
555, 76.3841
560, 77.0349
565, 76.7645
570, 77.3301
575, 77.3488
580, 77.9999
585, 77.3589
590, 77.5161
595, 77.7901
600, 76.6429
