ground distance, LOS dist, two ray, free space
5, 45.2769, 52.4614, 55.1954
6, 45.3982, 52.3847, 55.048
7, 45.5412, 52.6349, 55.1293
8, 45.7056, 52.8281, 55.3131
9, 45.8912, 53.1764, 55.2592
10, 46.0977, 53.686, 55.2587
11, 46.3249, 54.2514, 55.3014
12, 46.5725, 55.0138, 55.3281
13, 46.8402, 55.7736, 55.2389
14, 47.1275, 57.1985, 55.5657
15, 47.4342, 57.9818, 55.4852
16, 47.7598, 58.9719, 55.6391
17, 48.1041, 59.0247, 55.798
18, 48.4665, 58.0133, 55.6397
19, 48.8467, 56.7233, 55.6711
20, 49.2443, 55.8498, 56.0151
21, 49.6588, 54.7484, 56.0856
22, 50.0899, 53.9327, 56.013
23, 50.5371, 53.3782, 56.0031
24, 51, 53.3285, 56.1497
25, 51.4782, 53.562, 56.288
26, 51.9711, 53.9136, 56.1249
27, 52.4786, 54.9432, 56.3522
28, 53, 56.2472, 56.4467
29, 53.535, 57.6075, 56.2953
30, 54.0833, 59.16, 56.4899
31, 54.6443, 60.0845, 56.6474
32, 55.2178, 59.6386, 56.8662
33, 55.8032, 58.167, 57.0536
34, 56.4004, 56.3799, 56.8606
35, 57.0088, 55.3032, 57.0068
36, 57.6281, 54.6563, 57.1587
37, 58.258, 54.5732, 57.3649
38, 58.8982, 54.5054, 57.2159
39, 59.5483, 55.0907, 57.4521
40, 60.208, 56.0345, 57.5848
41, 60.8769, 57.318, 57.6113
42, 61.5549, 58.924, 57.6456
43, 62.2415, 60.8358, 57.8255
44, 62.9365, 62.1414, 58.1165
45, 63.6396, 60.9388, 58.0227
46, 64.3506, 59.5199, 58.1214
47, 65.0692, 58.113, 58.2724
48, 65.7951, 56.9231, 58.2583
49, 66.5282, 56.1322, 58.3141
50, 67.2681, 55.9143, 58.583
51, 68.0147, 55.8821, 58.6372
52, 68.7677, 56.1046, 58.7132
53, 69.527, 56.7536, 58.9142
54, 70.2922, 57.7134, 58.9584
55, 71.0634, 58.7513, 58.9402
56, 71.8401, 60.2604, 59.1147
57, 72.6223, 62.0017, 59.1956
58, 73.4098, 63.5071, 59.5705
59, 74.2024, 62.9301, 59.4242
60, 75, 61.4794, 59.1869
61, 75.8024, 60.8246, 59.6849
62, 76.6094, 59.5396, 59.7059
63, 77.4209, 58.6207, 59.8751
64, 78.2368, 58.0729, 59.9977
65, 79.0569, 57.5622, 59.8639
66, 79.8812, 57.3196, 59.9028
67, 80.7094, 57.4692, 60.1084
68, 81.5414, 57.8158, 60.1305
69, 82.3772, 58.3684, 60.3984
70, 83.2166, 58.8964, 60.2858
71, 84.0595, 59.7692, 60.4033
72, 84.9058, 60.9975, 60.6947
73, 85.7555, 62.2822, 60.7947
74, 86.6083, 63.052, 60.7451
75, 87.4643, 64.2416, 60.8922
76, 88.3233, 64.241, 60.9198
77, 89.1852, 64.4883, 61.2013
78, 90.05, 63.0506, 60.9564
79, 90.9175, 62.5972, 61.1932
80, 91.7878, 61.5204, 61.1352
81, 92.6607, 60.6978, 61.1707
82, 93.5361, 60.2833, 61.4179
83, 94.414, 59.6335, 61.2645
84, 95.2943, 59.5877, 61.5818
85, 96.1769, 59.4124, 61.6226
86, 97.0618, 59.3773, 61.6957
87, 97.949, 59.3608, 61.6549
88, 98.8383, 59.6743, 61.9585
89, 99.7296, 59.9525, 61.8837
90, 100.623, 60.1953, 61.8178
91, 101.518, 60.9577, 62.2762
92, 102.416, 61.393, 62.1577
93, 103.315, 62.0161, 62.2142
94, 104.216, 62.9648, 62.4365
95, 105.119, 63.7054, 62.6062
96, 106.024, 64.0463, 62.3726
97, 106.93, 64.831, 62.5912
98, 107.838, 65.4399, 62.7422
99, 108.747, 65.3697, 62.6378
100, 109.659, 66.055, 63.0796
101, 110.571, 65.3599, 62.8646
102, 111.485, 65.088, 63
103, 112.401, 64.4579, 63.0224
104, 113.318, 64.0217, 63.0255
105, 114.237, 63.8104, 63.3127
106, 115.156, 63.1653, 63.1675
107, 116.078, 62.8147, 63.2736
108, 117, 62.4471, 63.286
109, 117.924, 62.2371, 63.3759
110, 118.849, 62.0309, 63.4308
111, 119.775, 61.9118, 63.4404
112, 120.702, 61.7942, 63.5287
113, 121.631, 61.8465, 63.6707
114, 122.56, 61.9485, 63.8004
115, 123.491, 62.0185, 63.8354
116, 124.423, 62.2171, 64.0433
117, 125.355, 62.1937, 63.9415
118, 126.289, 62.2962, 63.7622
119, 127.224, 62.5929, 63.9922
120, 128.16, 62.9986, 64.1731
121, 129.097, 63.2383, 64.1926
122, 130.035, 63.5717, 64.308
123, 130.973, 63.8224, 64.3135
124, 131.913, 64.3194, 64.4436
125, 132.853, 64.6127, 64.5097
126, 133.795, 64.9572, 64.5622
127, 134.737, 65.267, 64.5596
128, 135.68, 65.5106, 64.5383
129, 136.624, 65.5575, 64.466
130, 137.568, 66.0687, 64.7229
131, 138.514, 66.3246, 64.8019
132, 139.46, 66.5187, 64.8589
133, 140.407, 66.5552, 64.8765
134, 141.354, 66.8282, 65.0308
135, 142.302, 66.7196, 65.0038
136, 143.252, 66.8845, 65.2132
