ground distance, LOS dist, two ray, free space
5, 45.2769, 62.6788, 64.7602
6, 45.3982, 63.4092, 64.8376
7, 45.5412, 64.5412, 64.5815
8, 45.7056, 66.534, 64.727
9, 45.8912, 68.139, 64.7972
10, 46.0977, 67.307, 64.7642
11, 46.3249, 64.901, 64.868
12, 46.5725, 62.9252, 64.9186
13, 46.8402, 62.2525, 65.1091
14, 47.1275, 62.6621, 64.9887
15, 47.4342, 64.8405, 65.0168
16, 47.7598, 68.0952, 65.087
17, 48.1041, 67.4461, 65.2863
18, 48.4665, 63.9398, 65.2211
19, 48.8467, 62.5123, 65.3614
20, 49.2443, 63.3532, 65.4407
21, 49.6588, 66.8322, 65.3675
22, 50.0899, 68.6011, 65.4878
23, 50.5371, 64.5275, 65.6747
24, 51, 62.887, 65.7539
25, 51.4782, 64.1089, 65.7907
26, 51.9711, 68.6131, 65.9916
27, 52.4786, 67.8961, 66.0288
28, 53, 63.8513, 65.9266
29, 53.535, 63.4152, 66.072
30, 54.0833, 66.3219, 66.1998
31, 54.6443, 69.5197, 66.1685
32, 55.2178, 65.5012, 66.3561
33, 55.8032, 63.5846, 66.3957
34, 56.4004, 65.3137, 66.4518
35, 57.0088, 70.1978, 66.708
36, 57.6281, 67.4043, 66.7337
37, 58.258, 64.2065, 66.8941
38, 58.8982, 64.6694, 66.8496
39, 59.5483, 68.6094, 66.9342
40, 60.208, 69.3698, 67.0837
41, 60.8769, 65.1814, 67.0812
42, 61.5549, 64.4559, 67.2607
43, 62.2415, 67.0853, 67.1692
44, 62.9365, 71.6271, 67.6409
45, 63.6396, 67.3642, 67.5912
46, 64.3506, 65.0656, 67.7293
47, 65.0692, 65.9086, 67.8126
48, 65.7951, 70.0499, 67.9002
49, 66.5282, 70.1176, 67.8565
50, 67.2681, 66.3734, 68.0947
51, 68.0147, 65.4711, 68.2902
52, 68.7677, 67.3049, 68.2448
53, 69.527, 71.4625, 68.3035
54, 70.2922, 69.8654, 68.4548
55, 71.0634, 66.8811, 68.7707
56, 71.8401, 65.9207, 68.5599
57, 72.6223, 67.7664, 68.7709
58, 73.4098, 71.7987, 68.6988
59, 74.2024, 70.6642, 68.899
60, 75, 67.4137, 68.994
61, 75.8024, 66.4432, 69.2904
62, 76.6094, 67.7063, 69.1676
63, 77.4209, 71.1051, 69.2419
64, 78.2368, 72.6095, 69.4818
