Ground distance, pathloss, LOS distance, average ray length
5, 36.0785, 5, 4.9814
6, 38.4595, 6, 5.97659
7, 38.3276, 7, 6.97358
8, 40.133, 8, 7.96824
9, 41.046, 9, 8.96838
10, 41.854, 10, 9.9645
11, 42.5772, 11, 10.958
12, 44.4133, 12, 11.9546
13, 44.3779, 13, 12.9499
14, 44.595, 14, 13.9466
15, 45.5103, 15, 14.9415
16, 46.5314, 16, 15.9365
17, 46.3583, 17, 16.9387
18, 46.2523, 18, 17.9308
19, 47.7306, 19, 18.9324
20, 47.693, 20, 19.9258
21, 48.2983, 21, 20.9233
22, 48.6498, 22, 21.9157
23, 49.5934, 23, 22.9158
24, 49.4318, 24, 23.9072
25, 49.6312, 25, 24.9047
26, 49.9719, 26, 25.8987
27, 50.3252, 27, 26.9023
28, 51.5784, 28, 27.8946
29, 50.8449, 29, 28.8884
30, 51.1144, 30, 29.8869
31, 51.7345, 31, 30.8824
32, 52.3445, 32, 31.8806
33, 52.0682, 33, 32.8802
34, 52.7287, 34, 33.8762
35, 52.8698, 35, 34.8683
36, 52.748, 36, 35.8672
37, 53.9052, 37, 36.8585
38, 53.7796, 38, 37.8562
39, 53.1992, 39, 38.8507
40, 54.3704, 40, 39.8519
41, 54.2169, 41, 40.8423
42, 53.8429, 42, 41.8397
43, 54.0001, 43, 42.8431
44, 55.2279, 44, 43.8286
45, 55.1633, 45, 44.833
46, 55.3263, 46, 45.822
47, 55.6259, 47, 46.8189
48, 56.1043, 48, 47.8281
49, 55.4764, 49, 48.809
50, 55.807, 50, 49.8139
51, 55.6496, 51, 50.81
52, 56.7088, 52, 51.8023
53, 56.0328, 53, 52.8119
54, 55.64, 54, 53.8067
55, 56.6348, 55, 54.7923
56, 56.7913, 56, 55.7765
57, 57.2166, 57, 56.7934
58, 57.5391, 58, 57.7837
59, 57.601, 59, 58.7677
60, 57.4435, 60, 59.7722
61, 57.6407, 61, 60.7677
62, 57.8637, 62, 61.775
63, 57.8408, 63, 62.76
64, 57.8729, 64, 63.7612
65, 58.2467, 65, 64.7616
66, 58.4343, 66, 65.7449
67, 57.8994, 67, 66.7599
68, 58.5041, 68, 67.7413
69, 58.5005, 69, 68.7326
70, 59.4742, 70, 69.7453
71, 58.9593, 71, 70.7292
72, 59.1078, 72, 71.7319
73, 59.3655, 73, 72.7267
74, 59.5118, 74, 73.7186
75, 59.4897, 75, 74.6993
76, 59.7718, 76, 75.7184
77, 60.3021, 77, 76.7132
78, 59.6695, 78, 77.6997
79, 60.0237, 79, 78.6907
80, 60.3323, 80, 79.702
81, 60.0769, 81, 80.7054
82, 60.5468, 82, 81.6963
83, 60.7703, 83, 82.6756
84, 59.9595, 84, 83.6835
85, 61.0374, 85, 84.689
86, 61.1695, 86, 85.6627
87, 61.0319, 87, 86.669
88, 60.1505, 88, 87.6669
89, 60.4617, 89, 88.659
90, 60.5587, 90, 89.6565
91, 60.6305, 91, 90.6489
92, 60.9993, 92, 91.6364
93, 61.6111, 93, 92.6321
94, 62.0348, 94, 93.6476
95, 61.6817, 95, 94.6586
96, 61.7726, 96, 95.6209
97, 61.7513, 97, 96.638
98, 62.9633, 98, 97.6246
99, 61.662, 99, 98.6311
100, 61.854, 100, 99.6163
101, 61.1885, 101, 100.629
102, 62.2711, 102, 101.62
103, 62.767, 103, 102.625
104, 62.0642, 104, 103.608
105, 62.1731, 105, 104.612
106, 62.8948, 106, 105.588
107, 61.9894, 107, 106.585
108, 62.5757, 108, 107.595
109, 63.5124, 109, 108.593
110, 63.0405, 110, 109.578
111, 62.6558, 111, 110.584
112, 62.8916, 112, 111.569
113, 63.05, 113, 112.558
114, 63.1265, 114, 113.57
115, 63.2574, 115, 114.585
116, 63.1167, 116, 115.57
117, 62.8619, 117, 116.556
118, 63.7965, 118, 117.526
119, 63.1078, 119, 118.56
120, 64.3475, 120, 119.552
121, 63.5898, 121, 120.536
122, 63.2992, 122, 121.539
123, 63.8415, 123, 122.549
124, 63.6698, 124, 123.531
125, 63.9816, 125, 124.512
126, 64.7065, 126, 125.533
127, 64.1195, 127, 126.525
128, 65.0072, 128, 127.539
129, 64.339, 129, 128.518
130, 64.5494, 130, 129.505
131, 64.3613, 131, 130.509
132, 64.6241, 132, 131.488
133, 64.5204, 133, 132.507
134, 64.8126, 134, 133.485
135, 64.5679, 135, 134.456
136, 64.5513, 136, 135.494
137, 64.7778, 137, 136.489
138, 64.9248, 138, 137.492
139, 65.0729, 139, 138.476
140, 64.8031, 140, 139.493
141, 65.4639, 141, 140.484
