distance, free space
5, 35.9369
6, 37.5558
7, 38.941
8, 40.0413
9, 41.1181
10, 41.9958
11, 42.8023
12, 43.5999
13, 44.2115
14, 44.984
15, 45.5782
16, 46.0429
17, 46.5205
18, 47.19
19, 47.5867
20, 48.02
21, 48.364
22, 48.8543
23, 49.1338
24, 49.6823
25, 49.9987
26, 50.1607
27, 50.6099
28, 50.9834
29, 51.0821
30, 51.4714
31, 51.8302
32, 52.227
33, 52.6862
34, 52.6926
35, 52.7184
36, 52.9066
37, 53.3803
38, 53.5806
39, 53.8029
40, 54.1213
41, 54.3504
42, 54.5036
43, 54.698
44, 54.7544
45, 55.5082
46, 55.246
47, 55.3632
48, 55.3811
49, 55.7352
50, 55.9747
51, 56.0506
52, 56.4819
53, 56.6624
54, 57.0388
55, 56.5128
56, 57.0563
57, 57.136
58, 57.4223
59, 57.6476
60, 57.6981
61, 57.6677
62, 57.6576
63, 58.0364
64, 57.971
65, 58.239
66, 58.6242
67, 58.2275
68, 59.2895
69, 58.5001
70, 58.5741
71, 59.2312
72, 59.7699
73, 58.8173
74, 59.6249
75, 58.9645
76, 60.0404
77, 59.3635
78, 59.836
79, 60.093
80, 60.2003
81, 60.1285
82, 60.2366
83, 60.598
84, 60.678
85, 60.5585
86, 60.7596
87, 60.7596
88, 60.4421
89, 61.3073
90, 60.9704
91, 61.0139
92, 61.3307
93, 61.1921
94, 61.9341
95, 61.1921
96, 62.4795
97, 61.1244
98, 62.2705
99, 61.8276
100, 62.3887
101, 61.6219
102, 62.0712
103, 61.5227
104, 62.5102
105, 62.6991
106, 61.9884
107, 62.0991
108, 63.3954
109, 62.6352
110, 63.3205
111, 62.449
112, 62.5411
113, 63.1388
114, 63.0333
115, 63.1388
116, 62.5411
117, 63.3578
118, 63.6281
119, 64.0901
120, 62.8965
121, 63.3578
122, 64.8116
123, 64.5085
124, 63.2469
125, 63.8321
126, 64.5085
127, 64.1797
128, 63.7086
129, 64.3176
130, 63.9164
131, 64.1797
132, 64.46
133, 64.9175
134, 65.1375
135, 64.8643
136, 64.2252
137, 65.3101
138, 64.6072
139, 65.1375
140, 64.8116
141, 64.9175
142, 64.3645
143, 65.7417
144, 65.2518
145, 65.2518
146, 66.1491
147, 65.3692
148, 65.6773
149, 64.8116
150, 65.7417
152, 65.6139
154, 65.807
156, 65.4291
158, 67.3748
160, 66.0785
162, 67.6677
164, 65.3101
166, 66.2939
168, 65.6139
170, 67.19
172, 67.4703
174, 66.8424
176, 67.19
178, 67.1004
180, 67.8746
182, 66.4437
184, 69.2312
186, 67.19
188, 67.0127
190, 65.9406
192, 67.9818
194, 67.8746
196, 66.8424
198, 67.19
200, 68.6876
202, 68.3204
204, 67.9818
206, 67.2814
208, 68.0918
210, 68.8173
212, 68.5617
214, 68.3204
216, 69.3784
218, 70.2003
220, 69.6888
222, 68.2046
224, 68.2046
226, 69.3784
228, 71.2149
230, 68.9509
232, 69.2312
234, 69.8527
236, 71.2149
238, 68.4394
240, 70.5782
242, 71.2149
244, 69.2312
246, 69.3784
248, 71.2149
250, 69.8527
255, 70.5782
260, 69.8527
265, 70.2003
270, 70.2003
275, 69.8527
280, 70.5782
285, 70.7802
290, 70.023
295, 70.5782
300, 70.9921
305, 70.3851
310, 72.2415
315, 74.0024
320, 72.5411
325, 72.863
330, 72.863
335, 71.6979
340, 71.9612
345, 72.5411
350, 74.0024
355, 74.0024
360, 73.2106
365, 73.2106
370, 75.5514
375, 74.46
380, 72.863
385, 76.2209
390, 75.5514
395, 73.2106
400, 74.46
405, 73.5885
410, 77.0127
415, 73.5885
420, 73.2106
425, 74.0024
430, 74.46
435, 72.2415
440, 79.2312
445, 72.863
450, 77.0127
455, 74.9715
460, 80.9921
465, 74.46
470, 74.46
475, 74.9715
480, 75.5514
485, 74.46
490, 77.9818
495, 75.5514
500, 77.9818
505, 73.5885
510, 75.5514
515, 75.5514
520, 77.0127
525, 74.9715
530, 79.2312
535, 74.9715
540, 84.0024
545, 77.0127
550, 77.0127
555, 75.5514
560, 77.0127
565, 75.5514
570, 77.9818
575, 74.46
580, 76.2209
585, 75.5514
590, 77.0127
595, 77.9818
600, 76.2209
